stop_id,tract
100060,4286
100070,4286
100110,4273
100170,4273
100220,4273
100230,4273
100250,4273
100270,4283.02
100280,4283.02
100290,4283.02
100300,4283.02
100310,4283.02
100320,4283.02
100330,4283.02
100340,4060
100350,4271
100460,4281
100470,4271
100560,4272
100570,4272
100710,4273
100730,4273
100760,4272
100770,4272
100780,4272
100800,4277
100860,4278
100870,4278
100900,4286
100910,4278
100930,4278
100940,4286
100960,4286
100970,4273
101010,4284
101020,4286
101050,4285
101060,4279
101070,4281
101080,4286
101090,4279
101100,4282
101110,4282
101120,4282
101130,4281
101140,4282
101150,4279
101170,4282
101190,4284
101240,4271
101250,4271
101260,4271
101270,4271
101280,4282
101290,4271
101300,4271
101370,4286
101380,4285
101390,4286
101480,4283.01
101530,4286
101550,4282
101560,4281
101570,4281
101580,4271
101590,4271
101620,4282
101630,4282
101640,4282
101650,4282
101660,4281
101670,4281
101680,4281
101690,4281
101720,4283.02
101730,4283.01
101750,4283.01
101770,4276
101780,4276
101790,4276
101800,4277
101820,4276
101830,4276
101920,4283.01
101940,4283.01
101960,4273
101970,4273
101980,4273
101990,4273
102000,4273
102010,4273
102030,4273
102040,4273
102050,4287
102070,4277
102080,4283.02
102100,4283.02
102110,4283.02
102160,4283.01
102180,4283.01
102190,4283.02
102200,4283.01
102230,4283.01
102240,4283.01
102250,4283.02
102260,4283.02
102290,4287
102370,4284
102380,4286
102390,4282
102410,4282
102420,4286
102430,4286
102440,4282
102450,4286
102460,4286
102480,4282
102490,4282
102500,4284
102530,4284
102560,4286
102570,4286
102580,4284
102590,4284
102630,4276
102640,4276
102680,4271
102690,4271
102730,4271
102770,4282
102810,4284
102820,4284
102830,4284
102840,4284
102890,4283.02
102900,4283.02
102910,4283.02
102920,4283.02
102930,4283.02
102940,4283.02
102950,4283.02
102960,4283.02
103140,4278
103150,4278
103160,4278
103170,4278
103180,4278
103190,4278
103200,4281
103220,4278
103230,4280
103270,4279
103280,4279
103330,4280
103340,4281
103350,4280
103360,4279
103370,4279
103380,4280
103420,4278
103430,4280
103450,4285
103470,4285
103480,4285
103490,4285
103500,4285
103590,4284
103600,4284
103630,4284
103750,4287
