stop_id,stop_name,latitude,longitude
810003,West 10th St & Beacon St,38.02936,-121.893819
810019,Wilbur Ave & Cavallo Rd,38.012362,-121.795246
810026,Cavallo Rd & Wilbur Ave,38.011653,-121.796973
810035,Cavallo Rd & East 13th St,38.009146,-121.796802
810042,East 18th St & Cavallo Rd,38.004807,-121.796225
810057,East 18th St & Biglow Dr,38.004787,-121.793425
810061,East Tregallas Rd & Countrywood Dr,37.996201,-121.788275
810074,East Tregallas Rd & Harbour Dr,37.996963,-121.791557
810088,East Tregallas Rd & Patricia Ave,37.997616,-121.795375
810100,Cavallo Rd & Sunset Dr,37.998469,-121.79791
810116,Cavallo Rd & Gary Ave,38.000604,-121.796759
810128,Cavallo Rd & Parker Ln,38.003296,-121.796708
810137,East 18th St & Cavallo Rd,38.004988,-121.797203
810144,East 18th St & Helmuth Ln,38.004993,-121.801304
810159,James Donlon Blvd & Sth Royal Links Cir,37.97988,-121.810243
810163,James Donlon Blvd & G St,37.980161,-121.81511
810171,James Donlon Blvd & Blythe Dr,37.980346,-121.820887
810192,Contra Loma Blvd & James Donlon Blvd,37.982954,-121.825097
810205,Contra Loma Blvd & Gatter Dr,37.986202,-121.823782
810214,Contra Loma Blvd & Putnam St,37.991308,-121.822329
810222,Buchanan Rd & Balboa Ct,37.998644,-121.82313
810233,Buchanan Rd & San Jose Dr,38.00039,-121.830252
810246,Buchanan Rd & Delta Fair Blvd,37.998719,-121.839217
810251,Buchanan Rd & Somersville Dr,37.998162,-121.842808
810267,Buchanan Rd & Meadows Ave,37.998067,-121.864524
810280,Buchanan Rd & Loveridge Rd,37.998046,-121.873138
810298,Loveridge Rd & Ventura Dr,38.000402,-121.873729
810308,Loveridge Rd & Stoneman Ave,38.003073,-121.872716
810312,East Leland Rd & Loveridge Rd,38.008477,-121.87144
810320,Wilbur Ave & Cavallo Rd,38.012133,-121.796097
810331,Cavallo Rd & Wilbur Ave,38.011757,-121.79678
810349,Cavallo Rd & East 13th St,38.009174,-121.796585
810354,Cavallo Rd & Amber Dr,38.005766,-121.796679
810365,East 18th St & Tce Dr,38.005032,-121.792254
810396,Prewett Ranch Dr & Forty Niner Wy,37.957507,-121.779437
810401,Prewett Ranch Dr & Marigold Wy,37.959706,-121.786104
810417,Prewett Ranch Dr & Mokelumne Dr,37.961386,-121.789995
810429,Prewett Ranch Dr & Mt Conness Wy,37.959934,-121.795028
810438,Dallas Ranch Rd & Stonecrest Dr,37.962305,-121.797582
810440,Dallas Ranch Rd & Mt Hamilton Dr,37.96742,-121.796942
810455,Dallas Ranch Rd & Cache Peak Dr,37.970567,-121.796956
810464,Dallas Ranch Rd & Cache Peak Dr,37.969732,-121.79668
810472,Dallas Ranch Rd & Mt Hamilton Dr,37.96746,-121.796661
810486,Dallas Ranch Rd & Stonecrest Dr,37.962504,-121.797326
810493,Prewett Ranch Dr & Mt Conness Wy,37.960114,-121.794772
810504,Prewett Ranch Dr & Mokelumne Dr,37.96158,-121.789798
810515,Prewett Ranch Dr & Marigold Wy,37.960071,-121.786348
810527,Prewett Ranch Dr & Forty Niner Wy,37.957625,-121.779145
810543,Davison Dr & Harbour Dr,37.989532,-121.790471
810558,Davison Dr & Burwood Wy,37.98721,-121.795631
810562,Davison Dr & Garrow Dr,37.986106,-121.798406
810570,Davison Dr & Sunset Ln,37.985114,-121.803171
810589,Davison Dr & Mountaire Dr,37.985326,-121.802808
810591,Davison Dr & Garrow Dr,37.98585,-121.799285
810602,Davison Dr & Ashburton Dr,37.987251,-121.796556
810618,Davison Dr & Harbour Dr,37.989615,-121.790708
