ZIP_CODE_5,TRACTCE,GEOID
94060,120200,06087120200
94060,613800,06081613800
94038,603400,06081603400
94038,613600,06081613600
94038,613502,06081613502
94038,603200,06081603200
94038,613501,06081613501
94038,603300,06081603300
94044,614000,06081614000
94044,603400,06081603400
94044,613600,06081613600
94044,603100,06081603100
94044,601000,06081601000
94044,602500,06081602500
94044,602600,06081602600
94044,603700,06081603700
94044,603000,06081603000
94044,602900,06081602900
94044,602800,06081602800
94044,603200,06081603200
94044,613501,06081613501
94044,603300,06081603300
94044,602700,06081602700
94044,601502,06081601502
94044,601605,06081601605
94015,060400,06075060400
94015,600600,06081600600
94015,601100,06081601100
94015,601200,06081601200
94015,601601,06081601601
94015,031302,06075031302
94015,600700,06081600700
94015,600800,06081600800
94015,600900,06081600900
94015,601000,06081601000
94015,601700,06081601700
94015,601800,06081601800
94015,601300,06081601300
94015,602600,06081602600
94015,602900,06081602900
94015,602800,06081602800
94015,601400,06081601400
94015,601501,06081601501
94015,601502,06081601502
94015,601603,06081601603
94015,601604,06081601604
94015,601605,06081601605
94080,604102,06081604102
94080,601901,06081601901
94080,984300,06081984300
94080,601902,06081601902
94080,600100,06081600100
94080,601601,06081601601
94080,601700,06081601700
94080,601800,06081601800
94080,602000,06081602000
94080,602100,06081602100
94080,602200,06081602200
94080,602400,06081602400
94080,602500,06081602500
94080,602600,06081602600
94080,603700,06081603700
94080,602300,06081602300
94080,604200,06081604200
94080,601603,06081601603
94080,601605,06081601605
94132,026200,06075026200
94132,060400,06075060400
94132,030800,06075030800
94132,031201,06075031201
94132,033203,06075033203
94132,033204,06075033204
94132,031301,06075031301
94132,031302,06075031302
94132,600900,06081600900
94132,030900,06075030900
94132,031400,06075031400
94132,033000,06075033000
94132,033100,06075033100
94132,033201,06075033201
94132,035300,06075035300
94132,035400,06075035400
94116,060400,06075060400
94116,030102,06075030102
94116,030301,06075030301
94116,030302,06075030302
94116,030400,06075030400
94116,030500,06075030500
94116,030600,06075030600
94116,030800,06075030800
94116,032801,06075032801
94116,032802,06075032802
94116,032901,06075032901
94116,035100,06075035100
94116,032902,06075032902
94116,033000,06075033000
94116,033100,06075033100
94116,035201,06075035201
94116,035300,06075035300
94116,035400,06075035400
94127,030500,06075030500
94127,030600,06075030600
94127,030700,06075030700
94127,030800,06075030800
94127,031201,06075031201
94127,031301,06075031301
94127,030900,06075030900
94127,031100,06075031100
94127,031000,06075031000
94127,021700,06075021700
94014,061000,06075061000
94014,026200,06075026200
94014,026302,06075026302
94014,600402,06081600402
94014,601901,06081601901
94014,600401,06081600401
94014,026303,06075026303
94014,026403,06075026403
94014,026404,06075026404
94014,060502,06075060502
94014,600500,06081600500
94014,600100,06081600100
94014,600600,06081600600
94014,601601,06081601601
94014,031302,06075031302
94014,600700,06081600700
94014,600900,06081600900
94014,601700,06081601700
94014,601300,06081601300
94014,602000,06081602000
94014,600300,06081600300
94014,601604,06081601604
94014,600200,06081600200
94112,025500,06075025500
94112,025600,06075025600
94112,026002,06075026002
94112,026004,06075026004
94112,026100,06075026100
94112,026200,06075026200
94112,026301,06075026301
94112,026302,06075026302
94112,600401,06081600401
94112,026303,06075026303
94112,025701,06075025701
94112,031201,06075031201
94112,031202,06075031202
94112,025403,06075025403
94112,026001,06075026001
94112,026003,06075026003
94112,025401,06075025401
94112,060502,06075060502
94112,980501,06075980501
94112,031302,06075031302
