stop_id,stop_name,latitude,longitude
100060,8TH ST & PORTOLA AV,37.76881,-122.27299
100070,8TH ST & PORTOLA AV,37.76899,-122.2728
100080,ALAMEDA FERRY TERMINAL,37.79134,-122.29412
100110,ATLANTIC AV & #1105,37.78027,-122.26402
100170,ATLANTIC AV & CHALLENGER DR,37.78107,-122.27006
100220,ATLANTIC AV & TRIUMPH DR,37.7808,-122.26608
100230,ATLANTIC AV & TRIUMPH DR,37.7808,-122.26613
100250,ATLANTIC AV WEBSTER ST,37.78073,-122.2756
100270,AUGHINBAUGH WAY & KOFMAN PK,37.74249,-122.25011
100280,AUGHINBAUGH WAY & MECARTNEY,37.73875,-122.25214
100290,AUGHINBAUGH WAY & MECARTNEY,37.73875,-122.25214
100300,AUGHINBAUGH WAY & ROBERT DA,37.74171,-122.25012
100310,AUGHINBAUGH WAY & ROBERT DA,37.74278,-122.25001
100320,AUGHINBAUGH WAY & THE LAGOO,37.74094,-122.25104
100330,AUGHINBAUGH WAY & THE LAGOO,37.74052,-122.25119
100340,BLANDING AV BROADWAY,37.77304,-122.23595
100350,BLANDING AV BROADWAY,37.76826,-122.23324
100460,BROADWAY & SANTA CLARA AV,37.76366,-122.23856
100470,BROADWAY & TILDEN WAY,37.76749,-122.23513
100560,BUENA VISTA AV & CHESTNUT S,37.7728,-122.25011
100570,BUENA VISTA AV & CHESTNUT S,37.7728,-122.25011
100710,BUENA VISTA AV SHERMAN ST,37.77722,-122.26239
100730,BUENA VISTA AV & SHERMAN ST,37.77676,-122.26283
100760,BUENA VISTA AV & WALNUT ST,37.77004,-122.24399
100770,BUENA VISTA AV & WALNUT ST,37.77,-122.24395
100780,BUENA VISTA AV & WILLOW ST,37.77155,-122.24722
100800,CENTRAL AV & 3RD ST,37.77307,-122.28605
100860,CENTRAL AV & 8TH ST,37.77143,-122.27325
100870,CENTRAL AV & 8TH ST,37.7713,-122.2733
100900,CENTRAL AV & BAY ST,37.76545,-122.26846
100910,CENTRAL AV BAY ST,37.77108,-122.26484
100930,CENTRAL AV WEBER ST,37.77115,-122.26921
100940,CENTRAL AV & WEBER ST,37.76975,-122.27328
100960,CENTRAL AV & WEBSTER ST,37.77135,-122.27648
100970,CHALLENGER DR & ATLANTIC AV,37.78146,-122.27079
101010,ENCINAL AV & ALAMEDA HIGH SC,37.75963,-122.25243
101020,ENCINAL AV & BENTON ST,37.7641,-122.2648
101050,ENCINAL AV & CHESTNUT ST,37.76062,-122.25492
101060,ENCINAL AV CHESTNUT ST,37.76679,-122.25411
101070,ENCINAL AV & FOUNTAIN ST,37.7569,-122.23521
101080,ENCINAL AV & GRAND ST,37.76343,-122.26297
101090,ENCINAL AV GRAND ST,37.76861,-122.25837
101100,ENCINAL AV HIGH ST,37.75628,-122.2344
101110,ENCINAL AV & MOUND ST,37.75791,-122.23671
101120,ENCINAL AV & MOUND ST,37.75791,-122.23671
101130,ENCINAL AV & PARK AV,37.76168,-122.24271
101140,ENCINAL AV & PARK AV W,37.76184,-122.24317
101150,ENCINAL AV PARU ST,37.76939,-122.26003
101170,ENCINAL AV & VERSAILLES AV,37.75924,-122.23868
101190,ENCINAL AV & WALNUT ST,37.76071,-122.24589
101240,FERNSIDE BLVD & HARVARD DR,37.76531,-122.22906
101250,FERNSIDE BLVD & HARVARD DR,37.76522,-122.22869
101260,FERNSIDE BLVD & HIGH ST,37.76365,-122.22643
101270,FERNSIDE BLVD & HIGH ST,37.76366,-122.22647
101280,FERNSIDE BLVD SAN JOSE A,37.75552,-122.235
101290,FERNSIDE BLVD & VERSAILLES,37.76733,-122.23315
101300,FERNSIDE BLVD & VERSAILLES,37.76694,-122.23223
101370,GRAND ST & #433,37.76163,-122.26299
101380,GRAND ST & #433,37.76164,-122.26276
101390,GRAND ST & SHORELINE DR,37.75974,-122.26393
101480,HARBOR BAY PKWY & FERRY TER,37.73648,-122.25655
101530,OTIS DR & HEATHER WALK,37.764,-122.26497
101550,HIGH ST & CALHOUN ST,37.75284,-122.23788
101560,HIGH ST & ENCINAL AV,37.75645,-122.23386
101570,HIGH ST & ENCINAL AV,37.75637,-122.23412
101580,HIGH ST & FAIRVIEW AV,37.76127,-122.22852
101590,HIGH ST & FAIRVIEW AV,37.76154,-122.2284
101620,HIGH ST & OTIS DR,37.75209,-122.23882
101630,OTIS DR & HIGH ST,37.75188,-122.23878
101640,HIGH ST & SAN JOSE AV,37.75503,-122.2355
101650,HIGH ST & SAN JOSE AV,37.75524,-122.23537
101660,HIGH ST & SANTA CLARA AV,37.75895,-122.23127
101670,HIGH ST & SANTA CLARA AV,37.75901,-122.2311
101680,HIGH ST STERLING AV,37.75763,-122.23254
101690,HIGH ST & VAN BUREN ST,37.75785,-122.23225
101720,ISLAND DR &  OPP. BAYFARM P,37.745,-122.23708
101730,ISLAND DR & CLUBHOUSE MEMOR,37.73945,-122.23802
101750,ISLAND DR & BAYFARM PARK &,37.74538,-122.23646
101770,LINCOLN AV & 5TH ST,37.77541,-122.28216
101780,LINCOLN AV & 5TH ST,37.77546,-122.28203
101790,LINCOLN AV & 6TH ST,37.77536,-122.27919
101800,LINCOLN AV & 6TH ST,37.77517,-122.27949
101820,LINCOLN AV & WEBSTER ST,37.77526,-122.27709
